"Brnd_Name","Gnrc_Name","Tot_Mftr","Mftr_Name","Tot_Spndng_2019","Tot_Dsg_Unts_2019","Tot_Clms_2019","Avg_Spnd_Per_Dsg_Unt_Wghtd_2019","Avg_Spnd_Per_Clm_2019","Outlier_Flag_2019","Tot_Spndng_2020","Tot_Dsg_Unts_2020","Tot_Clms_2020","Avg_Spnd_Per_Dsg_Unt_Wghtd_2020","Avg_Spnd_Per_Clm_2020","Outlier_Flag_2020","Tot_Spndng_2021","Tot_Dsg_Unts_2021","Tot_Clms_2021","Avg_Spnd_Per_Dsg_Unt_Wghtd_2021","Avg_Spnd_Per_Clm_2021","Outlier_Flag_2021","Tot_Spndng_2022","Tot_Dsg_Unts_2022","Tot_Clms_2022","Avg_Spnd_Per_Dsg_Unt_Wghtd_2022","Avg_Spnd_Per_Clm_2022","Outlier_Flag_2022","Tot_Spndng_2023","Tot_Dsg_Unts_2023","Tot_Clms_2023","Avg_Spnd_Per_Dsg_Unt_Wghtd_2023","Avg_Spnd_Per_Clm_2023","Outlier_Flag_2023","Chg_Avg_Spnd_Per_Dsg_Unt_22_23","CAGR_Avg_Spnd_Per_Dsg_Unt_19_23"
"Abilify Asimtufii","Aripiprazole",1,"Otsuka America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19814028.95,11973.98,3858,1655.712239,5135.8291731,0,NA,0
"Abilify Maintena","Aripiprazole",1,"Otsuka America",460602927.08,223131.394,222961,2070.4965398,2065.8452693,0,522294469.69,249763.545,250884,2091.5593858,2081.8165753,0,588910720.05,268978.986,271706,2190.2643705,2167.455706,0,679869052.54,293437.794,293978,2317.0873803,2312.6528262,0,786232036.53,319295.543,320525,2462.3149158,2452.9507418,0,0.0626767626,0.0442807483
"Abilify Mycite","Aripiprazole",1,"Otsuka America",22893.15,420,14,54.5075,1635.225,1,122978.17,2250,74,54.657007508,1661.8671622,1,69821.75,1290,43,54.125387597,1623.7616279,1,38762.95,720,24,53.837430556,1615.1229167,1,118495.26,2100,70,56.426314286,1692.7894286,1,0.0480870596,0.0086868405
"Abilify*","Aripiprazole",1,"Otsuka America*",219720634.07,7782161.216,232486,28.363982394,945.09189401,1,19622406.98,820126.871,22749,24.094987469,862.56129852,0,14005234.24,562042.487,15392,25.101915317,909.90347193,0,8510632.89,440321.214,12235,19.457846269,695.59729383,0,7625555.89,380544.791,10318,20.171384038,739.05368192,0,0.0366709532,-0.08168406
"Acamprosate Calcium","Acamprosate Calcium",1,"Zydus Pharmaceu",2127735.99,2740841,18934,0.7763077063,112.37646509,0,2070824.82,2690002,18171,0.7698227808,113.96317319,0,2578737.86,3357858,22268,0.7679710875,115.80464613,0,3248882.19,4855785,32445,0.6690745554,100.13506519,0,4867188.2,8210869,56271,0.5927738221,86.495498569,0,-0.114039209,-0.065210599
"Acamprosate Calcium","Acamprosate Calcium",1,"Ahp",1842.59,2729,27,0.6751887138,68.244074074,1,15536.68,3436,67,4.5217345751,231.89074627,1,50406.18,22136,236,2.2771132996,213.58550847,1,24192.34,5799,129,4.1718123814,187.53751938,1,47012.01,9546,173,4.9247862979,271.74572254,1,0.1804908389,0.6433896743
"Acamprosate Calcium","Acamprosate Calcium",1,"Teva USA",55031.27,66381,456,0.8290214067,120.68260965,0,23461.31,32931,221,0.7124384319,106.15977376,0,26731.12,39215,272,0.681655489,98.276176471,0,15516.32,24905,167,0.6230202771,92.912095808,0,3754.54,5322,36,0.7054753852,104.29277778,1,0.1323473909,-0.039540558
"Acamprosate Calcium","Acamprosate Calcium",1,"Mylan",171898.72,229507,1507,0.7489911855,114.06683477,0,776019.31,1127711,7451,0.6881366857,104.14968595,0,944758.01,1314384,8896,0.7187838638,106.20031587,0,719398.05,1071119,7427,0.6716322369,96.862535344,0,567801.8,894171,5992,0.6350035955,94.759979973,0,-0.054536753,-0.04043396
"Acamprosate Calcium","Acamprosate Calcium",1,"Major Pharmaceu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2042.85,4312,42,0.4737592764,48.639285714,1,NA,0
"Acamprosate Calcium","Acamprosate Calcium",1,"Glenmark Pharma",3957157.98,5188769,36228,0.762639073,109.22926963,0,5114371.72,7013997,48449,0.7291665109,105.5619666,0,6363326.32,8510839,57965,0.7476732106,109.77876857,0,6044962.34,8836086,59643,0.6841221713,101.35241923,0,4708972.46,7758447,51761,0.6069478157,90.975299163,0,-0.112807856,-0.055486706
"Adderall","Dextroamphetamine/Amphetamine",1,"Teva USA",4243138.35,697196,13532,6.0678300148,313.56328333,0,4732481.2,734032,14139,6.4330469797,334.71116769,0,29044224.94,3804821,71133,7.6513055204,408.30873069,0,39605273.4,4730387,89425,8.3671935366,442.88815656,0,34095563.29,3927869,77349,8.678159571,440.80160429,0,0.0371649147,0.0935749573
"Adderall XR","Dextroamphetamine/Amphetamine",1,"Takeda Pharmace",288917017.8,42788217.56,1273641,6.7508439132,226.84337093,0,199771043.43,30158565.31,880040,6.6218971027,227.00223107,0,326213730,46856660.34,1400765,6.9618006094,232.88255346,0,409626979.08,58897130,1786774,6.9552130387,229.25505916,0,406085600.22,58599390.57,1763315,6.9296352099,230.29668563,0,-0.003677505,0.006556312
"Adhansia XR","Methylphenidate HCl",1,"Adlon Therapeut",104870.07,10710,371,9.7945992258,282.66865229,1,1099341.31,108933,3697,10.091662442,297.36037598,0,3281744.94,309403,10433,10.606620159,314.55429311,0,2632875.26,234955,7869,11.205771274,334.58829076,0,18500.18,1619,53,11.429328452,349.06,1,0.0199501822,0.0393420796
"Adzenys XR-ODT","Amphetamine",1,"Neos Brands/Ayt",15930193.76,1429480,46571,11.144027217,342.06252303,0,11788821.94,969588,31362,12.1586891,375.89509406,0,11979804.29,859915,27959,13.93134082,428.47756679,0,10726049.03,761642,24649,14.08263801,435.15148809,0,13784790.65,903955,28940,15.249327618,476.3231047,0,0.0828459559,0.0815637744
"Alprazolam","Alprazolam",1,"Breckenridge",3453035.05,33575062.1,560252,0.1041016791,6.1633605056,0,6440304.16,59688447,1006795,0.1092101141,6.3968376482,0,7305909.87,67868672.45,1159429,0.1092430283,6.3012999244,0,6326222.03,58349334.65,1010974,0.1096110752,6.2575516581,0,1448773.87,10332880.5,185312,0.1421870435,7.8180251144,0,0.297195956,0.0810619265
"Alprazolam","Alprazolam",1,"Major Pharmaceu",890243.54,14607.25,2412,85.759338596,369.08936153,0,522633.48,22512.5,1587,43.370328265,329.32166352,1,426134.01,5010.5,686,166.59645795,621.1866035,1,99256.54,177,121,593.49763176,820.30198347,1,52753.91,102.5,67,530.66749331,787.37179104,1,-0.105864177,0.5771945423
"Alprazolam","Alprazolam",1,"Greenstone LLC.",3540509.88,30917162.35,502695,0.115839624,7.0430576791,0,3894176.54,28124183.75,469829,0.1432981163,8.2884976023,0,2750007.36,19987438.75,341113,0.1424462687,8.0618661851,0,2465045.23,14314741.25,253370,0.1806751161,9.7290335478,0,2575525.26,13493984.861,237840,0.1986712007,10.828814581,0,0.0996046658,0.144377853
"Alprazolam","Alprazolam",1,"Sandoz",1116047.5,9055296.03,157983,0.1248194909,7.0643518606,0,1529065.19,12285008.047,217158,0.1275931974,7.0412565505,0,7090576.39,48411364.861,861546,0.148980771,8.2300612968,0,8279497.91,54566402.87,977610,0.1570971016,8.4691215413,0,7723545.44,51680258,944756,0.1535676773,8.1751747965,0,-0.022466515,0.0531842414
"Alprazolam","Alprazolam",1,"Aurobindo Pharm",2139385.87,20556701.5,353616,0.1033530922,6.0500256493,0,4040908.84,34163022,586737,0.1202471863,6.8870871276,0,5299126.63,42534190.5,740412,0.1278291608,7.1569972259,0,5905713.71,35015902.5,601684,0.1757144923,9.8153078859,0,5781894.8,35348931.95,623525,0.1696456029,9.2729157612,0,-0.034538354,0.1318914598
"Alprazolam","Alprazolam",1,"Actavis/Teva",10118565.27,77118391.5,1325733,0.1324926191,7.6324307157,0,11447886.14,83796748.212,1465529,0.1386573825,7.8114361026,0,5534817.74,44225550,793036,0.126883177,6.9792767794,0,6417686.23,49329704,890751,0.1322259754,7.2048038453,0,11804760.26,81227183,1463540,0.1488422852,8.0658951993,0,0.1256660027,0.0295173286
"Alprazolam","Alprazolam",1,"Sun Pharma Glob",1907.77,11855,245,0.1718523456,7.7868163265,1,1381.17,7397,144,0.1937855878,9.5914583333,1,785.88,3804,78,0.2134707695,10.075384615,1,758.95,3182.5,68,0.2520228904,11.161029412,1,1945.49,17199,234,0.1290647411,8.3140598291,1,-0.487884847,-0.069078549
"Alprazolam","Alprazolam",1,"Par Pharm.",6408951.59,48430172.171,822256,0.1352118758,7.7943506524,0,405891.71,2301602.5,44466,0.1901088741,9.1281363289,0,55712.28,382443.25,7282,0.1536932411,7.6506838781,0,34875.53,76473,1411,0.5716027333,24.716888731,1,8623.75,18749,296,0.6585654636,29.134290541,1,0.1521384087,0.4855799469
"Alprazolam","Alprazolam",1,"Mylan",1035551.45,9743564.5,162867,0.1070666226,6.3582644121,0,635885.31,6269264,104034,0.1028221729,6.1122835804,0,13770.55,60085,1056,0.2622821613,13.040293561,0,2817.05,6287,112,0.6967837616,25.152232143,1,219.59,2191,31,0.1160096746,7.0835483871,1,-0.83350692,0.0202580411
